Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,136.5,143.75,134.75,140.5,134.31813049316406,539888
2020-01-03,132.5,145.0,132.5,142.75,136.4691619873047,553840
2020-01-06,134.75,145.25,133.75,142.5,136.2301483154297,593780
2020-01-07,142.5,145.0,137.5,138.25,132.16714477539062,435024
2020-01-08,139.75,157.25,139.0,154.0,147.22415161132812,1001096
2020-01-09,158.75,160.0,153.0,159.0,152.00416564941406,478084
2020-01-10,156.25,157.75,150.5,152.0,145.31214904785156,535880
2020-01-13,155.25,163.5,154.5,163.5,156.30616760253906,470260
2020-01-14,165.0,165.0,154.0,154.75,147.94114685058594,437108
2020-01-15,152.0,156.25,144.75,146.0,139.57615661621094,520716
2020-01-16,149.75,152.75,147.25,147.5,141.0101776123047,420436
2020-01-17,147.5,153.75,146.25,151.25,144.59515380859375,402960
2020-01-21,154.75,155.25,143.0,143.25,136.94715881347656,572988
2020-01-22,144.25,147.75,142.75,145.0,138.62013244628906,317368
2020-01-23,147.75,148.75,141.0,147.25,140.77114868164062,537912
2020-01-24,148.0,148.5,138.0,138.75,132.6451416015625,541280
2020-01-27,133.5,143.5,132.75,141.25,135.03512573242188,518400
2020-01-28,146.25,152.75,142.75,152.0,145.31214904785156,501848
2020-01-29,152.0,153.75,143.0,143.75,137.42514038085938,442872
2020-01-30,141.75,147.5,140.25,145.75,139.33712768554688,462304
2020-01-31,144.0,145.25,138.0,141.5,135.27413940429688,453640
2020-02-03,145.0,150.25,143.0,148.25,141.72714233398438,393792
2020-02-04,153.5,160.25,152.25,155.75,148.8971405029297,618656
2020-02-05,156.0,158.25,151.0,155.0,148.18016052246094,289352
2020-02-06,152.25,154.75,148.25,150.5,143.87815856933594,346628
2020-02-07,147.5,157.5,146.0,157.5,150.57015991210938,422884
2020-02-10,153.0,156.25,148.0,150.0,143.400146484375,371524
2020-02-11,151.25,155.0,147.75,149.25,142.6831512451172,408052
2020-02-12,150.5,154.5,149.5,153.75,146.9851531982422,376896
2020-02-13,150.0,152.75,146.5,151.0,144.3561553955078,344456
2020-02-14,150.5,153.0,148.75,151.25,144.59515380859375,303216
2020-02-18,146.75,150.0,136.5,137.25,131.21112060546875,824964
2020-02-19,134.75,137.0,128.75,129.25,123.5631332397461,666676
2020-02-20,130.5,132.5,124.75,129.0,123.32412719726562,719748
2020-02-21,122.5,124.0,117.0,117.25,112.09111022949219,1012548
2020-02-24,104.25,117.5,104.0,113.5,108.50611114501953,965640
2020-02-25,119.25,125.0,111.75,124.75,119.2611312866211,861356
2020-02-26,125.0,128.5,120.75,125.5,119.9781265258789,632360
2020-02-27,120.0,147.75,119.5,146.75,140.2931671142578,1243452
2020-02-28,168.0,190.5,165.25,177.5,169.69017028808594,2062928
2020-03-02,161.25,168.0,153.0,155.5,148.6581573486328,765348
2020-03-03,147.75,153.25,116.75,133.75,127.8651351928711,2044616
2020-03-04,128.25,138.25,125.75,126.5,120.93412780761719,888280
2020-03-05,122.0,128.5,117.0,118.5,113.28611755371094,1223980
2020-03-06,116.25,133.75,115.75,122.25,116.87110900878906,1195996
2020-03-09,133.5,148.75,131.0,148.75,142.2051544189453,1002552
2020-03-10,142.0,161.5,136.75,146.0,139.57615661621094,832832
2020-03-11,152.25,184.25,149.5,178.75,170.8851776123047,1515760
2020-03-12,227.5,251.25,188.75,241.0,230.39625549316406,1426736
2020-03-13,206.25,356.25,203.75,350.25,334.83935546875,1105208
2020-03-16,445.0,445.0,137.5,191.5,183.07420349121094,865268
2020-03-17,176.0,176.0,101.75,107.75,103.00910949707031,1528520
2020-03-18,116.25,143.75,98.75,142.0,135.7521514892578,1518940
2020-03-19,133.75,164.5,101.0,128.5,122.84613800048828,1055708
2020-03-20,113.0,149.25,112.5,145.0,138.62013244628906,833412
2020-03-23,125.5,137.0,100.0,120.0,114.7201156616211,917728
2020-03-24,77.5,87.5,56.25,63.5,61.07505798339844,2081624
2020-03-25,64.25,68.75,51.0,53.5,51.456939697265625,1606752
2020-03-26,52.5,62.0,51.0,57.25,55.06373596191406,1217236
2020-03-27,62.5,71.0,59.0,68.5,65.88410949707031,1546076
2020-03-30,68.0,75.5,61.25,71.25,68.52910614013672,1032692
2020-03-31,74.75,76.25,67.5,75.25,72.37635040283203,937640
2020-04-01,76.25,76.5,68.0,68.75,66.12456512451172,811920
2020-04-02,65.5,67.5,59.75,63.25,60.83460998535156,1029832
2020-04-03,62.25,65.0,59.25,64.0,61.55596160888672,606360
2020-04-06,58.0,60.75,55.0,57.25,55.06373596191406,984140
2020-04-07,56.25,59.25,55.0,58.25,56.02554702758789,726896
2020-04-08,57.25,59.0,55.75,57.5,55.30418395996094,442000
2020-04-09,52.5,53.5,45.75,46.0,44.24334716796875,1496696
2020-04-13,46.5,48.5,38.75,39.0,37.51066589355469,1533796
2020-04-14,38.25,41.5,35.75,39.75,38.232025146484375,1415380
2020-04-15,42.5,43.25,39.25,41.0,39.434288024902344,1009984
2020-04-16,40.5,41.5,38.5,39.25,37.751121520996094,776256
2020-04-17,42.0,42.25,40.25,41.25,39.67474365234375,651296
2020-04-20,41.75,41.75,38.25,39.25,37.751121520996094,647240
2020-04-21,41.75,42.25,39.0,40.0,38.472476959228516,735972
2020-04-22,37.0,37.5,34.5,34.5,33.18251419067383,683752
2020-04-23,33.209999084472656,33.59000015258789,29.979999542236328,32.810001373291016,31.557050704956055,3097000
2020-04-24,31.610000610351562,33.650001525878906,30.989999771118164,31.899999618530273,30.681800842285156,4217400
2020-04-27,31.780000686645508,33.599998474121094,31.219999313354492,31.93000030517578,30.710655212402344,3646000
2020-04-28,32.5099983215332,33.529998779296875,31.65999984741211,32.08000183105469,30.854928970336914,3131900
2020-04-29,32.66999816894531,33.84000015258789,31.459999084472656,31.68000030517578,30.47020149230957,3541700
2020-04-30,33.119998931884766,35.02000045776367,31.90999984741211,34.849998474121094,33.51914596557617,4454200
2020-05-01,36.529998779296875,36.88999938964844,32.380001068115234,32.54999923706055,31.30698013305664,4148100
2020-05-04,31.65999984741211,32.150001525878906,30.729999542236328,31.280000686645508,30.085477828979492,2871500
2020-05-05,31.389999389648438,32.380001068115234,29.549999237060547,29.790000915527344,28.65237808227539,3848500
2020-05-06,30.860000610351562,31.770000457763672,30.229999542236328,31.68000030517578,30.47020149230957,2366200
2020-05-07,30.8799991607666,31.299999237060547,28.290000915527344,29.18000030517578,28.065671920776367,3472600
2020-05-08,29.299999237060547,29.889999389648438,28.260000228881836,29.450000762939453,28.325363159179688,3064500
2020-05-11,29.31999969482422,31.6200008392334,29.09000015258789,30.950000762939453,29.768081665039062,2780000
2020-05-12,30.190000534057617,31.399999618530273,29.110000610351562,31.149999618530273,29.960439682006836,2791600
2020-05-13,30.219999313354492,31.93000030517578,29.579999923706055,30.719999313354492,29.54686164855957,2788600
2020-05-14,30.739999771118164,30.84000015258789,28.229999542236328,28.770000457763672,27.671329498291016,3363100
2020-05-15,27.510000228881836,28.020000457763672,26.25,26.43000030517578,25.420690536499023,5408000
2020-05-18,25.579999923706055,27.670000076293945,25.540000915527344,27.399999618530273,26.353647232055664,5582000
2020-05-19,26.5,26.68000030517578,25.0,25.43000030517578,24.458879470825195,4784400
2020-05-20,25.270000457763672,26.450000762939453,25.049999237060547,26.18000030517578,25.18023681640625,6698800
2020-05-21,27.010000228881836,28.889999389648438,26.799999237060547,27.6299991607666,26.57486343383789,4263300
2020-05-22,27.100000381469727,27.8799991607666,26.3799991607666,27.790000915527344,26.7287540435791,2982700
2020-05-26,28.1299991607666,30.25,28.059999465942383,30.1200008392334,28.969776153564453,9943300
2020-05-27,31.829999923706055,32.779998779296875,30.6299991607666,30.639999389648438,29.46991729736328,4350000
2020-05-28,29.559999465942383,30.989999771118164,28.940000534057617,30.229999542236328,29.075576782226562,4229300
2020-05-29,28.989999771118164,30.0,28.649999618530273,29.540000915527344,28.41192626953125,3811600
2020-06-01,29.170000076293945,29.350000381469727,27.719999313354492,27.760000228881836,26.699899673461914,3765200
2020-06-02,27.489999771118164,30.059999465942383,27.40999984741211,29.68000030517578,28.54657745361328,4831200
2020-06-03,31.200000762939453,32.70000076293945,30.700000762939453,32.060001373291016,30.835691452026367,4488900
2020-06-04,30.780000686645508,31.989999771118164,30.549999237060547,31.459999084472656,30.258602142333984,3251800
2020-06-05,33.470001220703125,35.04999923706055,32.709999084472656,32.880001068115234,31.624380111694336,3952300
2020-06-08,32.36000061035156,33.439998626708984,31.989999771118164,32.02000045776367,30.797218322753906,2390100
2020-06-09,31.479999542236328,32.29999923706055,30.719999313354492,31.56999969482422,30.364402770996094,2993000
2020-06-10,30.75,32.709999084472656,28.709999084472656,28.770000457763672,27.671329498291016,4176000
2020-06-11,28.950000762939453,32.2599983215332,28.059999465942383,31.479999542236328,30.27783966064453,4284300
2020-06-12,30.309999465942383,32.16999816894531,29.709999084472656,31.84000015258789,30.62409210205078,4048700
2020-06-15,33.560001373291016,34.4900016784668,29.90999984741211,30.15999984741211,29.008249282836914,3273300
2020-06-16,30.329999923706055,32.099998474121094,29.889999389648438,31.739999771118164,30.527910232543945,3319700
2020-06-17,31.5,32.0099983215332,30.690000534057617,31.3700008392334,30.172040939331055,2334200
2020-06-18,31.649999618530273,32.38999938964844,31.010000228881836,32.13999938964844,30.912635803222656,1883800
2020-06-19,31.25,31.639999389648438,29.3700008392334,29.899999618530273,28.758174896240234,3474000
2020-06-22,28.489999771118164,28.6200008392334,26.739999771118164,27.59000015258789,26.53639030456543,4189700
2020-06-23,26.780000686645508,27.190000534057617,26.049999237060547,26.850000381469727,25.82465171813965,3040700
2020-06-24,27.200000762939453,28.389999389648438,26.309999465942383,27.639999389648438,26.584482192993164,4582300
2020-06-25,27.649999618530273,28.6299991607666,27.3799991607666,27.450000762939453,26.401737213134766,3365300
2020-06-26,27.989999771118164,28.760000228881836,26.799999237060547,26.989999771118164,25.959304809570312,4286400
2020-06-29,26.780000686645508,27.360000610351562,26.450000762939453,26.489999771118164,25.478397369384766,3516700
2020-06-30,26.65999984741211,26.959999084472656,24.75,24.8700008392334,23.920263290405273,4604300
2020-07-01,24.969999313354492,26.360000610351562,24.860000610351562,25.010000228881836,24.054916381835938,4770200
2020-07-02,25.299999237060547,25.549999237060547,24.239999771118164,25.5,24.526206970214844,4416400
2020-07-06,24.440000534057617,25.290000915527344,24.1299991607666,24.56999969482422,23.6317195892334,3733300
2020-07-07,24.75,24.75,23.030000686645508,23.270000457763672,22.381364822387695,5446900
2020-07-08,22.5,22.790000915527344,21.610000610351562,21.889999389648438,21.05406379699707,6565500
2020-07-09,21.5,23.110000610351562,21.309999465942383,22.059999465942383,21.217571258544922,6955400
2020-07-10,21.639999389648438,22.8700008392334,21.56999969482422,22.459999084472656,21.602293014526367,4446100
2020-07-13,21.68000030517578,24.0,21.549999237060547,23.940000534057617,23.025779724121094,7258500
2020-07-14,24.100000381469727,24.280000686645508,22.049999237060547,22.100000381469727,21.256044387817383,5845900
2020-07-15,22.3700008392334,23.079999923706055,21.8700008392334,21.989999771118164,21.150245666503906,4009500
2020-07-16,22.3700008392334,23.040000915527344,21.920000076293945,22.649999618530273,21.7850399017334,5421400
2020-07-17,22.049999237060547,22.329999923706055,21.1200008392334,21.170000076293945,20.361560821533203,5454300
2020-07-20,20.610000610351562,20.799999237060547,19.889999389648438,20.049999237060547,19.284326553344727,4048700
2020-07-21,19.1200008392334,19.8700008392334,18.799999237060547,19.559999465942383,18.81304168701172,6089200
2020-07-22,19.0,19.309999465942383,18.520000457763672,18.709999084472656,17.995500564575195,8448200
2020-07-23,18.780000686645508,20.06999969482422,18.260000228881836,19.389999389648438,18.649532318115234,11277700
2020-07-24,18.899999618530273,19.239999771118164,18.510000228881836,18.610000610351562,17.899320602416992,7159900
2020-07-27,17.15999984741211,17.25,16.25,16.770000457763672,16.12958526611328,9740500
2020-07-28,17.299999237060547,17.6299991607666,16.6299991607666,16.989999771118164,16.341182708740234,7057900
2020-07-29,16.8700008392334,18.040000915527344,16.860000610351562,17.329999923706055,16.66819953918457,10247100
2020-07-30,18.309999465942383,19.079999923706055,17.700000762939453,18.489999771118164,17.783903121948242,8880000
2020-07-31,17.889999389648438,18.270000457763672,17.280000686645508,17.40999984741211,16.745145797729492,8097300
2020-08-03,17.600000381469727,18.309999465942383,17.40999984741211,17.75,17.072162628173828,7358200
2020-08-04,17.739999771118164,18.049999237060547,16.100000381469727,16.1200008392334,15.504409790039062,12214500
2020-08-05,15.4399995803833,16.40999984741211,15.140000343322754,16.06999969482422,15.456317901611328,12741500
2020-08-06,15.4399995803833,16.729999542236328,15.4399995803833,16.280000686645508,15.658299446105957,11305800
2020-08-07,17.010000228881836,17.709999084472656,16.770000457763672,17.299999237060547,16.639345169067383,14437700
2020-08-10,16.979999542236328,17.729999542236328,16.18000030517578,17.639999389648438,16.96636199951172,9974400
2020-08-11,19.40999984741211,20.549999237060547,19.0,20.450000762939453,19.66905403137207,17773700
2020-08-12,19.010000228881836,20.239999771118164,18.8799991607666,20.200000762939453,19.42860221862793,13683400
2020-08-13,19.399999618530273,19.739999771118164,18.3799991607666,18.809999465942383,18.09168243408203,13931500
2020-08-14,18.90999984741211,19.610000610351562,18.68000030517578,19.040000915527344,18.312898635864258,8443500
2020-08-17,17.360000610351562,17.6200008392334,16.579999923706055,16.6200008392334,15.985313415527344,8465700
2020-08-18,15.770000457763672,17.299999237060547,15.729999542236328,16.84000015258789,16.19691276550293,9800600
2020-08-19,17.149999618530273,18.299999237060547,16.850000381469727,18.100000381469727,17.408796310424805,14695100
2020-08-20,18.049999237060547,18.290000915527344,17.139999389648438,17.260000228881836,16.600875854492188,11784900
2020-08-21,17.969999313354492,18.5,17.790000915527344,18.139999389648438,17.447267532348633,8557300
2020-08-24,17.510000228881836,18.40999984741211,17.5,18.31999969482422,17.62039566040039,5670700
2020-08-25,18.3799991607666,19.309999465942383,18.3799991607666,18.420000076293945,17.716575622558594,7066000
2020-08-26,18.790000915527344,18.889999389648438,17.459999084472656,17.489999771118164,16.822092056274414,7316100
2020-08-27,16.860000610351562,18.799999237060547,16.860000610351562,18.350000381469727,17.649250030517578,9231100
2020-08-28,17.420000076293945,17.760000228881836,16.8799991607666,17.09000015258789,16.437366485595703,8126600
2020-08-31,16.959999084472656,17.149999618530273,16.420000076293945,16.90999984741211,16.264238357543945,7573200
2020-09-01,16.170000076293945,17.729999542236328,16.170000076293945,17.31999969482422,16.65858268737793,8015100
2020-09-02,17.739999771118164,18.389999389648438,17.239999771118164,17.270000457763672,16.610492706298828,8843100
2020-09-03,17.530000686645508,18.530000686645508,17.260000228881836,17.639999389648438,16.96636199951172,9302200
2020-09-04,17.950000762939453,19.209999084472656,17.770000457763672,18.020000457763672,17.331851959228516,9068100
2020-09-08,19.09000015258789,19.40999984741211,17.56999969482422,18.309999465942383,17.610776901245117,7501000
2020-09-09,17.8799991607666,17.8799991607666,16.59000015258789,16.670000076293945,16.033405303955078,7920900
2020-09-10,16.360000610351562,17.389999389648438,16.25,17.270000457763672,16.610492706298828,9242000
2020-09-11,17.059999465942383,17.829999923706055,16.649999618530273,17.68000030517578,17.00483512878418,6924400
2020-09-14,17.049999237060547,17.09000015258789,16.190000534057617,16.229999542236328,15.610206604003906,7113400
2020-09-15,15.850000381469727,16.43000030517578,15.609999656677246,16.229999542236328,15.610206604003906,8639100
2020-09-16,15.75,16.3700008392334,15.699999809265137,16.200000762939453,15.581354141235352,8703500
2020-09-17,16.950000762939453,17.299999237060547,16.579999923706055,16.729999542236328,16.09111213684082,7307900
2020-09-18,16.639999389648438,17.350000381469727,16.399999618530273,17.309999465942383,16.648962020874023,6742200
2020-09-21,18.329999923706055,19.0,17.81999969482422,18.610000610351562,17.899320602416992,9563800
2020-09-22,18.420000076293945,19.0,18.170000076293945,18.43000030517578,17.726194381713867,5911200
2020-09-23,19.040000915527344,20.899999618530273,19.030000686645508,20.600000381469727,19.813325881958008,9793700
2020-09-24,21.059999465942383,21.239999771118164,19.229999542236328,19.520000457763672,18.77457046508789,9416900
2020-09-25,20.049999237060547,20.389999389648438,19.510000228881836,19.760000228881836,19.005403518676758,5655600
2020-09-28,19.229999542236328,19.809999465942383,18.989999771118164,19.299999237060547,18.56296730041504,3680100
2020-09-29,19.09000015258789,19.229999542236328,18.549999237060547,18.809999465942383,18.09168243408203,5380300
2020-09-30,19.09000015258789,19.56999969482422,18.65999984741211,19.010000228881836,18.28404426574707,6623400
2020-10-01,18.600000381469727,18.989999771118164,18.239999771118164,18.610000610351562,17.899320602416992,6290700
2020-10-02,19.030000686645508,19.34000015258789,18.600000381469727,19.200000762939453,18.4667911529541,4937200
2020-10-05,18.90999984741211,19.049999237060547,18.170000076293945,18.559999465942383,17.85123062133789,5460700
